magnitude,depth,cdi,mmi,sig,alert
6.7,596.6,0.79,7.69,1311.8,orange
7.66,349.1,7.31,7.64,582.4,red
5.89,339.0,1.87,5.69,1197.1,yellow
9.05,416.7,8.58,1.62,1001.8,red
9.0,578.2,8.19,4.34,616.9,red
5.31,246.7,5.41,9.29,242.2,red
6.59,476.2,7.1,6.26,170.0,orange
5.56,398.2,3.14,5.84,1496.7,yellow
5.48,190.6,4.71,3.42,1653.1,green
4.19,615.6,8.22,4.32,1169.6,yellow
7.17,559.2,4.59,9.06,186.2,red
6.61,462.6,3.58,7.0,723.6,orange
4.27,596.2,4.94,8.09,1312.1,red
5.45,607.8,8.28,5.09,1403.7,yellow
8.72,497.3,3.35,6.67,212.8,red
5.25,586.7,1.74,3.24,0.1,green
4.75,489.7,7.12,7.35,1281.8,orange
6.55,477.7,8.26,4.85,641.9,orange
9.13,434.9,1.01,4.98,458.1,red
5.26,528.1,2.4,6.84,23.2,orange
7.5,115.2,1.42,9.43,972.5,red
7.96,617.2,3.48,1.58,1532.1,red
5.24,610.9,4.5,8.42,1723.7,red
7.79,25.3,7.49,3.63,1018.3,red
5.91,578.9,6.51,5.0,926.0,yellow
7.29,94.6,6.21,1.2,153.1,orange
7.29,237.9,3.52,3.71,988.0,orange
6.79,521.7,8.41,5.52,684.0,orange
4.47,116.7,4.71,1.51,1092.8,green
8.34,573.5,9.79,5.42,699.7,red
5.67,583.3,6.34,9.34,432.5,red
4.97,357.7,1.26,1.95,170.9,green
4.21,9.4,6.76,7.88,566.9,orange
7.07,204.5,3.25,4.69,174.0,orange
7.52,433.8,6.86,6.9,318.4,red
4.09,686.9,0.7,3.34,1777.2,green
6.66,444.1,1.75,2.44,799.4,orange
5.18,185.6,8.56,2.44,957.4,green
7.35,445.6,2.27,1.63,1572.5,orange
4.91,380.3,8.37,2.67,1792.0,green
7.59,547.0,2.79,6.98,1048.9,red
6.01,79.4,6.43,8.94,1462.5,red
8.87,533.9,6.94,8.33,588.5,red
4.72,381.2,5.13,7.17,550.3,orange
5.77,674.3,3.05,1.99,724.9,yellow
4.59,242.6,2.13,3.6,1210.5,green
8.81,444.7,0.33,3.79,1227.9,red
8.56,652.8,3.04,3.25,567.4,red
5.34,76.2,6.53,5.64,239.8,yellow
7.43,656.4,9.38,5.82,1138.3,orange
8.25,483.1,8.71,4.21,231.0,red
6.89,52.1,7.66,4.18,1041.3,orange
6.75,214.2,7.88,8.46,1248.2,red
5.26,497.2,6.65,8.1,1261.1,red
4.48,51.8,2.6,3.77,1356.2,green
8.67,409.6,9.07,9.22,1571.1,red
8.68,245.4,6.71,9.58,899.9,red
7.29,436.5,5.6,3.94,1314.4,orange
5.76,36.8,1.11,4.19,1114.5,yellow
5.82,610.7,4.47,5.55,336.0,yellow
7.77,681.6,4.6,9.47,46.2,red
8.66,678.4,8.65,8.89,512.2,red
8.61,526.0,5.47,1.92,797.5,red
8.06,95.4,3.8,4.53,1110.8,red
7.34,532.0,9.77,5.98,1529.9,orange
4.44,22.1,1.11,5.53,353.2,yellow
4.84,20.4,4.23,2.74,226.0,green
8.67,229.9,0.42,8.73,1734.3,red
7.15,344.6,7.4,7.09,194.5,orange
4.05,540.4,9.18,8.54,861.3,red
4.53,479.9,2.8,8.73,1054.0,red
7.45,314.9,8.58,7.74,974.5,orange
4.03,195.2,2.92,4.95,154.9,yellow
4.84,698.0,9.11,6.49,102.6,orange
6.85,301.2,7.54,2.44,189.9,orange
7.6,318.7,8.05,7.06,1054.1,red
7.39,118.7,0.18,2.61,979.8,orange
5.17,557.4,9.63,7.25,420.7,orange
7.7,487.1,7.27,3.07,1148.0,red
5.23,158.4,3.05,2.06,1476.1,green
5.69,62.3,8.29,2.49,74.8,yellow
7.88,477.9,2.82,1.02,896.6,red
7.38,459.9,8.73,7.47,1240.8,orange
8.42,194.9,1.13,7.59,454.2,red
7.42,665.9,7.04,5.63,554.0,orange
6.96,110.0,5.41,2.45,1104.5,orange
4.49,305.5,0.97,1.75,1616.3,green
5.91,660.8,2.42,1.17,1457.9,yellow
5.38,296.7,0.12,2.49,1049.6,green
5.27,448.8,4.69,9.02,1314.4,red
9.06,281.3,3.01,3.17,656.7,red
6.04,195.6,5.98,4.19,1153.7,yellow
8.64,688.9,2.97,1.95,839.1,red
7.28,289.5,3.0,3.0,341.9,orange
8.13,626.4,7.43,5.67,1263.1,red
6.61,164.8,0.48,6.47,1001.6,orange
7.0,153.1,9.03,3.21,645.5,orange
6.56,26.6,8.52,1.52,1640.4,orange
5.02,457.9,6.68,4.52,37.7,yellow
7.76,261.1,5.93,3.11,568.4,red
5.46,605.7,8.92,2.98,102.4,green
4.13,333.9,1.85,9.64,1379.7,red
7.36,677.9,0.79,6.55,1263.8,orange
4.92,133.9,2.4,6.01,596.4,orange
8.89,608.7,7.95,4.74,1216.2,red
8.96,544.7,0.35,4.86,712.7,red
8.76,540.8,5.83,5.87,1361.3,red
5.92,592.1,9.95,7.27,817.5,orange
4.08,533.9,8.56,7.32,742.1,orange
8.83,440.2,5.21,2.55,1682.5,red
6.23,96.2,0.64,5.5,451.6,yellow
9.03,27.6,8.31,4.71,216.8,red
9.01,645.0,5.99,8.83,1052.2,red
8.44,433.6,1.15,6.68,1744.8,red
5.53,558.6,0.94,5.79,680.1,yellow
6.0,339.7,9.1,2.04,111.7,yellow
8.43,86.5,6.69,6.45,610.7,red
5.65,92.0,8.29,2.05,910.7,yellow
4.88,481.5,8.79,4.03,291.5,yellow
6.9,304.1,5.72,2.29,1184.6,orange
8.87,144.4,5.17,7.23,1795.9,red
7.62,346.7,4.3,2.86,813.1,red
6.96,49.6,3.17,4.53,638.5,orange
4.51,409.5,4.35,9.06,721.3,red
7.2,192.0,7.74,2.84,207.3,orange
9.15,559.3,6.02,5.57,1589.9,red
4.73,220.7,8.93,4.77,746.7,yellow
6.7,321.4,4.43,1.16,697.1,orange
8.56,13.1,6.07,8.13,1187.4,red
7.85,55.4,6.31,1.62,795.7,red
7.62,277.8,5.92,5.27,1166.8,red
7.65,338.6,7.03,6.05,110.6,red
5.87,422.0,2.37,6.66,1464.7,orange
5.53,207.7,5.12,7.2,1692.9,orange
8.21,488.0,1.04,3.28,1167.8,red
8.21,602.8,3.85,1.09,1718.2,red
8.51,547.0,4.88,7.51,272.6,red
8.75,32.5,6.52,5.82,859.3,red
6.66,339.0,9.51,8.53,1083.3,red
6.61,77.9,6.01,8.39,1047.1,red
8.15,173.2,7.44,8.59,722.6,red
7.38,690.7,5.06,5.37,608.6,orange
7.65,104.0,6.34,4.0,228.3,red
8.14,351.7,0.71,8.12,705.1,red
8.63,434.6,2.54,5.06,292.8,red
5.76,493.2,3.62,2.65,1321.9,yellow
5.95,394.0,4.72,8.69,375.9,red
4.49,11.8,0.46,8.94,105.4,red
7.01,231.9,1.4,5.2,994.3,orange
4.19,364.8,2.77,1.68,1071.4,green
6.42,66.1,9.72,4.49,1569.4,yellow
6.82,248.7,3.31,8.23,1038.6,red
5.49,28.1,4.82,9.12,621.9,red
7.07,59.6,1.96,2.83,1445.4,orange
4.16,280.9,6.11,1.6,972.5,green
4.19,97.2,2.81,8.9,142.7,red
8.28,399.4,2.07,4.5,1018.5,red
5.87,484.2,5.17,5.88,1634.4,yellow
4.66,561.4,0.06,9.71,713.4,red
6.72,144.1,0.08,1.6,533.4,orange
8.0,121.4,2.19,6.83,258.2,red
5.12,77.7,0.37,1.67,272.6,green
7.24,447.3,1.08,4.38,779.0,orange
4.44,496.0,3.39,8.23,1072.2,red
4.27,27.0,8.03,4.9,145.1,yellow
6.76,655.7,5.72,9.97,1691.2,red
6.81,41.1,5.13,6.03,1359.2,orange
7.31,381.2,2.93,3.89,1055.9,orange
7.78,497.8,9.32,2.98,1491.2,red
9.07,610.3,3.97,4.15,144.3,red
6.68,501.3,0.87,4.35,858.3,orange
5.68,562.2,6.17,1.62,1134.2,yellow
8.13,240.9,1.14,4.33,1491.6,red
5.41,571.3,3.45,5.18,1410.2,yellow
6.28,60.7,5.07,7.5,498.7,orange
4.41,626.9,8.74,6.91,1693.6,orange
4.13,385.6,4.94,7.38,223.8,orange
9.01,573.0,7.02,1.08,1575.2,red
8.35,319.4,9.93,2.96,1747.7,red
7.62,452.3,1.31,6.96,318.9,red
6.13,370.8,2.75,5.36,1299.7,yellow
4.9,513.5,3.95,1.05,72.5,green
4.81,61.7,4.22,8.24,729.8,red
5.3,46.9,4.11,7.96,929.3,orange
6.86,176.7,9.08,5.94,1045.2,orange
7.72,115.9,7.14,1.6,1684.7,red
7.43,610.9,6.08,7.9,1210.1,orange
5.46,157.4,3.09,6.25,866.3,orange
8.97,683.2,8.24,8.04,1457.4,red
7.84,239.1,9.55,7.77,1711.0,red
6.88,131.6,8.21,8.23,39.7,red
7.18,553.8,0.02,5.66,1768.5,orange
6.18,462.8,6.36,2.26,155.0,yellow
5.29,351.2,0.51,7.04,1465.9,orange
5.85,391.0,2.58,6.58,504.6,orange
7.94,504.8,0.6,7.68,237.9,red
4.07,163.8,6.04,2.53,791.7,green
4.6,697.5,6.87,2.75,1159.1,green
4.24,682.5,1.14,9.01,685.7,red
4.21,457.0,3.84,7.75,98.2,orange
8.45,143.7,4.56,9.17,1079.0,red
7.66,477.8,3.69,7.83,1624.3,red
6.47,55.2,1.21,6.37,689.8,orange
4.51,26.3,4.19,6.89,389.4,orange
6.56,184.1,7.51,9.0,796.6,red
6.46,326.5,0.71,6.21,87.1,orange
4.9,608.4,0.8,6.69,1476.9,orange
6.26,510.4,3.55,2.41,1487.4,yellow
6.07,521.2,9.42,5.27,1058.4,yellow
7.2,300.7,6.69,7.45,635.6,orange
7.3,245.4,6.79,3.44,1439.6,orange
4.24,262.9,3.62,2.82,998.4,green
5.95,691.4,5.94,3.82,1486.7,yellow
7.25,32.9,0.1,3.17,1136.6,orange
6.62,607.6,6.36,2.93,1411.9,orange
8.45,407.2,9.13,4.82,1077.4,red
7.43,309.8,6.13,9.17,745.5,red
4.85,509.1,8.74,5.56,1724.3,yellow
4.37,343.2,7.24,2.69,974.0,green
7.34,612.0,1.21,1.69,1089.2,orange
4.14,631.0,9.02,7.27,396.9,orange
7.05,298.1,0.66,4.45,1126.2,orange
8.89,197.4,5.34,8.4,1028.9,red
6.99,416.7,1.42,6.94,332.7,orange
6.02,639.1,0.12,8.17,107.3,red
7.35,151.4,4.22,3.45,1087.8,orange
6.38,438.0,2.95,7.23,1374.6,orange
6.84,443.9,4.86,3.38,942.1,orange
8.9,514.5,5.77,9.45,408.2,red
6.01,96.4,0.44,6.73,1199.7,orange
9.0,502.5,1.23,3.92,144.2,red
8.71,636.8,5.59,3.43,795.3,red
5.02,129.9,3.43,2.72,294.1,green
4.36,170.1,7.29,7.25,332.0,orange
4.52,680.1,6.52,2.97,364.1,green
4.09,130.8,8.46,6.36,696.1,orange
4.49,598.8,6.92,3.38,92.1,green
7.55,347.1,4.3,6.96,716.0,red
4.37,176.8,6.73,8.33,921.1,red
5.66,610.2,2.75,8.0,869.9,red
8.39,314.5,3.06,7.85,689.0,red
4.12,362.8,7.89,2.69,1510.5,green
8.24,254.7,4.46,1.8,261.6,red
5.47,417.1,7.98,7.29,910.3,orange
4.61,118.6,8.22,4.32,111.7,yellow
7.62,276.8,8.58,4.89,128.1,red
7.27,678.7,9.17,1.28,1033.0,orange
8.56,184.4,4.31,3.34,1018.8,red
7.82,461.4,3.19,1.3,1580.5,red
8.18,231.0,5.82,8.91,1004.2,red
5.47,542.6,3.71,3.19,1727.6,green
4.92,96.0,6.01,6.02,87.7,orange
7.9,679.0,7.06,1.35,176.4,red
8.2,320.4,6.88,7.0,79.3,red
9.15,169.1,3.75,3.91,333.5,red
6.15,56.1,1.67,9.08,974.3,red
5.93,123.0,4.31,8.99,1162.0,red
8.04,366.2,1.43,3.93,82.1,red
5.77,239.2,8.9,9.11,1702.7,red
8.84,581.1,3.46,9.97,1515.9,red
8.46,304.5,1.54,8.43,533.9,red
6.23,177.9,0.25,8.6,138.9,red
7.9,433.9,6.46,3.24,305.8,red
7.92,496.2,6.37,6.19,228.5,red
4.54,121.1,3.41,1.61,221.9,green
8.69,121.5,0.72,1.85,933.4,red
6.63,30.5,4.1,9.99,442.5,red
8.3,516.8,3.11,3.94,644.7,red
5.66,466.3,6.77,7.73,1781.1,orange
8.66,334.9,6.06,8.26,1231.8,red
6.02,591.7,3.65,8.72,1708.2,red
4.06,564.9,2.18,9.98,256.6,red
8.71,411.8,9.88,3.17,687.9,red
4.47,608.4,4.54,1.36,998.5,green
5.66,148.1,6.88,4.7,138.2,yellow
8.94,82.8,1.41,2.17,7.5,red
8.94,192.5,4.86,1.2,1206.8,red
6.98,44.7,0.28,4.24,1155.3,orange
7.29,374.2,5.05,8.05,739.4,red
6.33,655.9,9.64,6.1,881.4,orange
5.52,32.3,3.84,3.82,747.8,yellow
5.71,89.9,0.39,6.89,43.2,orange
7.5,319.3,0.31,3.09,603.7,red
7.91,654.0,3.88,1.13,318.7,red
8.12,224.7,1.6,7.88,177.2,red
8.11,357.5,0.23,6.61,1722.1,red
4.47,33.9,7.56,7.86,1078.8,orange
6.57,108.1,4.59,1.35,1311.6,orange
4.3,690.7,2.89,8.53,567.7,red
6.86,675.8,9.0,6.58,707.7,orange
6.3,8.4,1.16,6.07,426.5,orange
8.62,666.5,9.56,6.62,174.5,red
5.82,449.2,3.14,8.78,322.3,red
4.61,608.2,8.88,6.28,1435.5,orange
4.74,321.0,6.03,6.23,1219.6,orange
7.96,363.3,8.27,9.92,984.5,red
7.21,344.7,9.84,7.81,855.2,orange
4.53,468.5,2.88,4.98,1660.4,yellow
4.44,102.1,9.61,7.37,130.9,orange
7.65,25.8,3.89,4.5,505.1,red
4.38,219.0,3.86,3.06,629.9,green
8.27,494.8,3.4,6.37,1408.4,red
7.67,145.3,5.41,9.35,1786.5,red
4.42,473.0,1.54,9.36,433.2,red
4.44,679.1,5.54,4.08,1573.8,yellow
9.13,70.3,5.42,5.75,1495.1,red
5.95,472.5,7.62,2.9,404.4,yellow
5.93,313.4,8.34,9.96,718.8,red
8.23,608.4,4.4,9.83,737.4,red
8.93,128.1,3.02,6.85,1760.8,red
9.13,486.4,2.59,8.24,325.6,red
7.92,587.5,1.95,7.44,1438.5,red
5.96,661.5,0.58,6.34,601.5,orange
4.43,479.9,3.42,1.48,1315.6,green
8.04,350.5,2.7,5.09,756.0,red
6.9,434.4,9.66,7.07,1041.0,orange
6.21,608.9,5.58,7.1,1498.7,orange
8.71,401.6,3.47,4.36,1447.5,red
4.58,26.1,5.8,9.48,1559.6,red
6.56,652.0,1.39,2.51,107.3,orange
4.06,484.2,4.44,5.5,1245.7,yellow
6.44,475.2,6.26,7.22,252.0,orange
4.29,154.9,4.89,7.27,748.5,orange
4.62,462.9,4.02,6.84,987.5,orange
4.61,278.7,9.94,3.48,724.9,green
7.38,457.6,8.8,2.41,935.3,orange
7.88,79.1,6.23,6.72,1793.7,red
7.03,462.2,5.69,6.39,243.4,orange
9.0,699.6,6.21,2.61,1215.8,red
5.95,38.5,2.01,7.35,712.8,orange
5.49,684.1,3.95,5.1,239.4,yellow
8.52,287.8,0.39,7.01,285.7,red
5.16,610.2,4.76,8.54,1708.7,red
9.01,548.8,5.43,2.53,1583.3,red
4.06,399.1,2.28,1.17,1632.7,green
9.04,518.2,9.64,8.01,1784.8,red
4.22,615.6,9.09,6.49,375.0,orange
8.63,285.9,7.22,7.3,639.8,red
6.74,232.3,5.33,8.54,1204.6,red
9.16,469.0,8.7,8.23,870.8,red
4.38,566.5,1.31,9.65,753.1,red
6.88,534.8,7.91,5.82,644.1,orange
9.04,559.5,1.25,5.4,1068.8,red
6.72,307.7,7.94,4.62,1036.1,orange
7.27,573.4,2.76,2.38,290.6,orange
7.62,88.5,8.77,6.15,849.1,red
6.36,383.4,9.44,3.49,996.2,yellow
7.26,9.0,1.49,9.29,1026.5,red
7.04,230.6,4.63,6.25,378.2,orange
8.69,259.7,9.81,6.34,1336.1,red
4.24,280.3,4.83,4.19,45.4,yellow
5.46,488.3,8.64,1.47,638.7,green
8.94,275.0,5.89,1.29,1404.4,red
8.63,316.8,3.75,4.81,1015.0,red
6.37,170.1,2.86,1.76,470.1,yellow
7.22,264.4,2.03,6.46,1250.9,orange
5.44,163.0,7.62,8.93,1021.3,red
4.98,55.9,3.87,8.95,1433.2,red
6.41,424.4,5.11,6.93,1323.0,orange
5.84,469.4,4.92,2.9,1098.2,yellow
7.04,435.5,5.77,8.77,878.7,red
4.4,327.1,8.66,8.97,239.7,red
9.07,269.0,9.81,2.77,470.4,red
9.13,605.0,4.08,7.64,754.4,red
7.63,365.8,8.28,3.58,1078.7,red
6.79,338.0,7.65,8.22,924.7,red
5.61,22.8,5.74,9.98,518.7,red
8.23,242.2,9.56,1.27,11.6,red
7.56,269.2,2.0,9.08,893.2,red
4.85,282.2,1.09,6.6,514.1,orange
8.74,408.2,8.54,9.76,1322.3,red
8.28,375.9,4.39,5.19,43.1,red
8.94,427.5,8.47,8.63,1052.7,red
7.77,536.6,8.93,1.56,1694.7,red
7.19,570.0,0.62,4.02,313.9,orange
6.17,504.1,8.83,1.6,849.0,yellow
8.85,669.1,4.48,9.78,164.6,red
8.5,17.7,5.1,8.35,1126.2,red
4.24,141.1,6.27,8.67,991.0,red
4.14,10.3,9.26,9.44,733.3,red
5.96,455.0,0.19,1.77,938.5,yellow
8.21,629.1,4.77,4.47,1613.8,red
9.13,174.2,6.88,1.64,353.3,red
4.78,649.3,7.23,2.9,40.6,green
7.09,46.9,6.93,3.06,1551.0,orange
5.98,654.4,1.34,5.22,1038.8,yellow
9.04,249.4,2.99,3.42,1603.2,red
8.38,75.5,3.59,1.91,1074.5,red
8.36,342.7,8.04,2.51,1458.3,red
6.44,183.5,2.79,2.33,773.4,yellow
6.16,203.0,2.11,9.76,1349.7,red
5.42,218.6,9.57,7.83,1643.5,orange
4.29,563.1,0.09,9.71,1029.8,red
8.5,379.7,9.98,4.96,325.4,red
8.23,221.4,6.77,3.51,483.8,red
9.2,429.2,8.28,8.18,357.6,red
9.18,502.7,2.95,3.94,444.3,red
6.89,194.5,0.14,3.69,551.5,orange
8.0,292.4,7.38,3.09,999.2,red
8.91,89.7,8.34,2.17,1058.4,red
8.42,130.9,7.4,3.31,767.7,red
5.29,478.4,1.43,4.2,1107.8,yellow
6.34,131.1,7.53,7.07,146.8,orange
4.67,370.0,7.69,1.56,158.0,green
8.96,497.8,6.59,2.89,309.3,red
7.15,79.3,7.66,8.28,932.5,red
5.19,399.3,8.46,2.32,385.2,green
7.49,183.3,6.14,4.08,509.9,orange
7.21,674.2,0.89,8.78,720.6,red
5.86,341.1,4.88,2.39,1461.4,yellow
4.59,565.2,0.78,1.74,25.0,green
7.49,387.4,4.08,5.36,1168.9,orange
6.71,35.2,4.07,3.72,1204.0,orange
8.02,445.0,0.66,6.07,1437.6,red
6.7,666.2,3.49,8.23,1679.0,red
8.43,423.1,1.11,2.23,36.2,red
6.87,574.3,8.08,6.23,276.8,orange
6.92,619.5,9.48,5.55,1595.1,orange
8.56,163.5,0.72,2.3,825.3,red
6.1,152.4,9.55,6.62,1016.3,orange
4.7,429.6,5.23,3.46,1193.4,green
4.15,290.7,3.0,5.39,1222.3,yellow
7.93,588.7,0.77,1.74,1677.1,red
7.23,630.5,5.01,5.14,1794.5,orange
7.66,250.6,7.95,3.76,1296.3,red
5.11,169.6,7.07,8.4,517.0,red
4.71,547.5,0.5,1.51,1583.6,green
4.08,196.0,0.73,4.77,88.6,yellow
5.82,576.7,4.03,5.13,415.9,yellow
7.07,299.5,2.95,7.53,1615.3,orange
6.04,468.9,2.32,6.17,461.1,orange
6.27,71.4,2.81,7.0,397.2,orange
8.7,438.6,8.03,7.99,248.6,red
5.81,319.0,9.29,8.76,1546.4,red
6.67,412.7,4.05,3.82,900.1,orange
8.07,121.8,9.06,5.84,1214.8,red
6.06,517.1,3.21,8.56,430.3,red
7.23,604.6,4.76,9.91,1364.5,red
8.48,155.6,2.26,9.01,1368.0,red
8.94,71.5,6.4,4.34,562.7,red
4.76,21.4,9.79,2.76,739.2,green
8.82,451.2,6.03,5.4,377.4,red
6.56,426.9,3.58,7.67,1757.8,orange
5.34,385.0,6.48,5.43,1162.1,yellow
6.39,166.2,1.23,5.35,1682.2,yellow
9.1,276.7,8.89,8.54,546.1,red
6.56,418.2,5.03,4.25,1407.4,orange
5.71,350.3,4.49,8.74,1378.5,red
7.29,691.5,5.86,4.66,1245.0,orange
5.25,99.8,6.25,3.95,1738.2,green
4.39,488.1,0.72,5.09,708.4,yellow
4.67,286.0,6.83,7.86,235.3,orange
4.67,302.6,2.42,2.13,1209.1,green
4.79,503.7,7.14,2.77,1312.8,green
4.72,486.2,8.23,9.56,1035.1,red
7.33,693.9,8.04,2.58,372.3,orange
4.95,94.2,5.53,6.11,908.0,orange
5.8,77.4,5.2,6.21,561.9,orange
8.66,508.4,1.43,5.41,769.4,red
6.46,407.0,7.75,6.8,1161.4,orange
7.47,195.5,2.71,3.07,1341.4,orange
4.9,60.2,4.97,5.97,418.0,yellow
5.0,64.5,2.84,4.35,729.6,yellow
4.21,626.5,1.34,6.96,484.5,orange
4.88,138.3,6.3,2.27,357.5,green
5.45,229.7,0.54,6.14,1410.1,orange
4.92,162.5,7.49,2.67,1636.7,green
4.46,251.7,3.18,3.51,666.4,green
4.63,53.2,0.0,2.97,1352.3,green
6.4,365.7,5.11,2.65,1614.6,yellow
